sentiment,review_body,product_category
-1,This blouse is stunning on the website ;however  it is totally sheer which you cannot tell from the photo. i was very disappointed and will be returning.,Blouses
-1,Cute in theory  i love the bright colors  the tied black collar sash and the 70's vibe  however  the fabric is cheap  and the worst part in my view is that the seams that run along the front center of the shirt do not align the pattern. maybe this was intentional  but with the shirt i received  it looked horrible. i sent it back. i notice in the picture that the black ties are strategically placed over the center front seam  so it is a bit deceiving. i wouldn't buy this top at any price based on,Blouses
-1,I ordered this shirt online and just received it in the mail. the floral design is nice  but the mesh fabric in the back is low quality and cheapens the look of the shirt (especially considering the price). most disappointingly  the neck hole is almost as small as the arm holes. with no zipper or button opening i could not fit my head through the opening and  thus  could not even put the shirt on. needless to say  i will be returning it. i ordered the xs  so it is possible that larger sizes do n,Blouses
-1,I loved the look of this blouse online. i really wanted a cute eyelet top for summer. the blouse looked great out of the package but the fit was not good. i am a 00p and 32 b bra size  this top was too tight across my chest but billowed out in the back. its as if the armholes were too far forward. it is fairly short but i am short waisted. i really wanted this top to work but i had to return it. if i went up one size the back of the blouse would have been ridiculously large and the top was too e,Blouses
-1,I was able to get this on sale. when it arrived  it was missing half of the rhinestones. i am very surprised that this top would be sent out this way. it also was missing the little bag with extra stones. i'm reaching out and wondering if anyone else has experienced this and is there a store that sells rhinestones like the one on the blouse? any help from anyone would be appreciated. i hate to part with this  but where was quality control?,Blouses
-1,"Ordered online  and when it came i was very excited to open it - but the photo doesn't show how incredibly wide the cut is. it is also quite cropped and looked very awkward on me - 5'9  130. the embroidery is lovely  but the style doesn't work. i had a small  but the area in the shoulders was cut very tight and it would not have worked well if i wanted to raise or lower my arms above shoulder height. might work better on someone with a more petite frame  but i do caution how ""voluminous"" the cut",Blouses
-1,So much right but then....too short.,Blouses
-1,"I wanted to love this top  but when i received the picture on the website is a dark charcoal almost black and the ""grey"" that you order is much  much lighter grey. in addition  this shirt is super boxy... thus why the model probably is pinning her elbows to her side to bring the top in. going back disappointed.",Blouses
-1,Very sheer inexpensive material. even on sale i'm returning it,Blouses
0,Gosh this is beautiful but it is way wider and puffer than i imagined it would be. in fact it almost looks like a costume or something you would buy handmade. i would just feel silly wearing this out to dinner with a group of friends. i gave it high ratings on the quality however because it really is beautiful but the design is just not what i had hoped for.,Blouses
0,It broke my heart to return this shirt. the pattern is just the kind of quirky that i crave from retailer. the quality is really great but in the end this shirt was just way to big. i don't think the xs would have made enough of a difference. sad face.,Blouses
0,Tried this on in store with red ag ankle jeans and the only thing i could do was chuckle. it looked like a sleeveless lab coat or butchers coat. take your pick this styling was not for me. the fabric is nice not flimsy. you can see whatever pants your wearing underneath but i guess that's a moot point since it does have a substantial side slit. it does run tts. i'm 5'3ish  118# and the size 2 fit ok. probably would have sized up to the 4 because a slight pull at the chest (34d-dd). in the end i,Blouses
0,"This is a beautiful piece but the cut is not flattering. i ordered my usual small and while the top fit  the fringed part was huge  kind of ""maternity."" i can only imagine there was some clothes-pinning going on for the photo. this would have been great if it had about 4 inches of fabric removed from the lower part. obviously  it cannot be altered. so sad  must return.",Blouses
0,Not keeping this one. the fabric is a bit tacky-looking in person  the cut is odd and it's just not me. fit is fine and there are snaps to keep the neckline flat and shaped  the colors are as shown and it is a good length (falls to top of hip). i simply did not like it. too metallic looking maybe...,Blouses
0,This top is beautiful! but the fabric is really stiff and itchy. in addition  it's rather cropped or short. the real disaster and heart break for me was when i washed it. the tag recommends dry cleaning  but allows for hand washing. i should have dry cleaned - it shrunk even more when i washed it on delicate setting in cold. too bad  because this looks so cute the first time you wear it. if you're up for a dry cleaning bill and don't mind a little stiff scratchy material  you'll be fine buying t,Blouses
0,Too pricey for the quality of this imported product.,Blouses
0,"Love the colors in this top. it's a shame it was so big and baggy i'm not that big a person but really made me look big and frumpy . i am 5'6""  130#. athlete. size small was way too much material for my frame",Blouses
0,The picture of this top is misleading. it's more like a tent/ super short dress. i ordered my usual size (l) and could easily get away with a small in this top  if the arm holes were not too tight. i def. need to go down to a medium  and maybe even a petite medium since i'm 5/3. the top is 100% cotton  but there is so much fabric there is no way a little shrinkage would offset the amount of extra fabric. it looks like a tent on. plus  the picture and description make it seem like a normal top le,Blouses
1,True to size  nice unique shoulder/neckline fit and blousey/full on the bottom and arms which taper in. for me  i prefer to wear it tucked or partially tucked in to add waist definition. though a vest or belt can also be used. sheer  you will need a cami. lovely flow and colors.  the collar pleats and neck tie add a romantic interest. just beautiful.,Blouses
1,This top fits well as expected for the size. i love the ease of the top and wear it both casually and a bit more dressed up. great styling on the back.,Blouses
1,"Contrary to what previous reviewers have said  i think this top fits really well  and is very flattering. i also don't find it too long at all. i normally wear a size small  and got this in a size 4. no gapping at the chest  and i'm a 34d. (5'4""  124 lbs  36-27-35). and the colors in the striped version are really pretty. i plan to wear it now and right through spring. i did have a quality issue  however. the first one i received had bunched up stitching where the pleats begin right below the po",Blouses
1,Just purchased this yesterday in the store and i can't wait to wear it! it is a perfect spring/summer top when you just want to wear something pretty and comfortable! i agree that it is big but that is the style of this shirt. so if you're ok with this look  you will love this shirt! i took my usual medium and the prints are adorable! a great addition to my wardrobe!,Blouses
1,I fell in love with this tunic on instagram  and couldn't wait to find it during the tops promotion. it was absolutely not a disappointment. as the other reviewer mentioned  the colors of the embroidery are brighter than they appear in the online images  and this actually makes the shirt more beautiful--they're rich and fallish  but not at all over the top.    i'm thrilled with the quality and overall cut of this tunic. i would agree that it might be best to run to a larger size in a range--i di,Blouses
1,"Super light and soft. haven't worn it out but expect to wear with jeans. it will be cute and comfy. i'm 5'2""  130 lbs and bought a small  fits well.",Blouses
1,This is a very nice blouse. usually i am size 12-14  bought size l and it fits very well. would not size up. the fit is very forgiving (hides tummy); i like the v-neck. fabric does not look like polyester and of good quality. the blouse is versatile  looks good with skinny dark or white jeans. recommend!,Blouses
1,I ordered the purple in size xl. the fit on me matches the model so i think it's true to size. i wouldn't say there's much purple to this print. i can't really find any. the areas where the blue/red overlap just look navy. the photos show how it really looks. it's a great mix of light brown  peach  white  red and different shades of blue. there will be variations because of pattern placement. i love this style--it's very comfortable.,Blouses
1,I bought the black motif  the design lends to a nice pop of color.  the venting detail on the back is beautiful  but probably not as obvious on the black.  maeve is one of my favorite retailer designers.  i'm usually between a s/m or 6/8 in blouses.  i followed advice from other reviewers and got the 8- for room in the arms.  the blouse is very billowy- much more than in the photos  but i'm wearing it with skinny jeans and i love it!,Blouses
-1,I wanted to love this dress. i saw it in the catalog in blue  and wanted it. however  for some reason i took my sweet time in ordering it  and by the time i did  only the orange was available: but on sale. i was so excited when it arrived  and as i was trying it on  i thought  this is a bit shorter in the skirt than i usually go but it's so pretty... and then i couldn't get my right arm in the sleeve at all. i wondered if i had caught some of the lining as i was putting it on or something  but n,Dresses
-1,"I have a holding horses dress similar to this one from about a year ago.  i loved the swinging fit without it looking like a maternity dress.   the fit and style of this dress is wonderful  it's the color that killed it for me.   i ordered the ""orange"" because i liked the photo on the model.  when the dress arrived in the mail  i could hardly take it out of the package and try it on.   the color is almost neon orange.   too much for this redhead.  hard to wear that bright neony color.  not sure",Dresses
-1,The style was really cute but the fit was huge. i ordered an xs. i don't think going to the xxs would have helped. i ended up returning it.,Dresses
-1,Man  this dress is the worst. i don't understand how it looks the way it does on the model. agree with previous reviewer - there must be a minimum of 200 pins pulling the waves and waves of extra fabric back. this dress looks so cute   but is so  so  so disappointing in person. sweater collar and cuffs - stiff and bulky. dress - billowy and sack-like - not sure how they got a belt to pull it all in. save yourself the return and do not get sucked in by the sale price and extra sale discount like,Dresses
